"Department","Year","Metropole","Main river","Unemployment rate","Median income","Share single parents","PM2.5 concentration","Population","Log population","Log median income"
"Cotes-d'Armor",2013,0,0,8.925,19844,11.204727935939,12.2699445219674,617565,13.3335396051024,9.89565697342094
"Cotes-d'Armor",2014,0,0,9,20018.5,11.5436152893101,10.6834966403762,617413,13.33329344687,9.90441212498726
"Cotes-d'Armor",2015,0,0,9.15,20064.2307692308,11.6775594939272,9.84982883301159,618156,13.3344961317699,9.90669394502274
"Cotes-d'Armor",2016,0,0,9,20279,12.0020163097247,9.62790698000904,618478,13.3350169002548,9.91734114682466
"Cotes-d'Armor",2017,0,0,8.3,20590,12.326030716049,9.57384015953452,617107,13.3327977076252,9.93256080002184
"Creuse",2012,0,0,9.525,17301.3043478261,13.4383221098198,11.1558353805718,126511,11.748084539891,9.75853717347185
"Creuse",2013,0,0,9.975,17745.5,13.6409211731108,12.0529637578371,125714,11.7417647646692,9.78388724163489
"Creuse",2014,0,0,9.625,17984,13.2067940621919,8.83237101068075,124948,11.7356529297324,9.79723775269342
"Creuse",2015,0,0,9.75,18354.4,13.4717047259215,9.98903562366523,124569,11.7326150582329,9.81762460675595
"Creuse",2016,0,0,9.3,18586.7948717949,13.4861119094107,9.18845209252336,123500,11.7239964350502,9.83020665443592
"Creuse",2017,0,0,8.7,18820,13.7434505988731,8.30870701522733,122133,11.7128658938526,9.84267541313937
"Deux-Sevres",2012,0,0,7.3,18818.6666666667,10.1801234503245,12.7282449226347,383123,12.8561113654306,9.84260456401256
"Deux-Sevres",2013,0,0,7.7,19335.3333333333,10.3123282764733,13.4998871350396,383079,12.8559965132113,9.8696894437859
"Deux-Sevres",2014,0,0,7.725,19584,10.7240977276494,10.2591422067001,384655,12.8601021076327,9.88246818531205
"Deux-Sevres",2015,0,0,7.95,19676.3452380952,11.0433777897207,11.2965857844051,385395,12.8620240613443,9.88717244391373
"Deux-Sevres",2016,0,0,7.825,19898,11.4239637733192,10.6540067695064,385495,12.8622835017328,9.89837450314931
"Deux-Sevres",2017,0,0,7.125,20180,11.7281734132403,10.2171275385616,384479,12.8596444500514,9.9124472939076
"Dordogne",2012,0,1,10.375,18264.4444444444,12.4416629404902,12.0775132826862,429268,12.9698367114857,9.81271152236627
"Dordogne",2013,0,1,10.7,18755.7142857143,12.6032814066322,11.8149753437238,429579,12.9705609383004,9.83925374687284
"Dordogne",2014,0,1,10.7,18971,12.945765975087,9.41482360003027,428651,12.9683983470098,9.85066677635255
"Dordogne",2015,0,1,10.8,19065,13.1294237977516,10.9059654829716,427579,12.965894345608,9.85560947229166
"Dordogne",2016,0,1,10.4,19279.5,13.472322666872,9.12444992062716,426667,12.9637591284774,9.8667976342183
"Dordogne",2017,0,1,9.725,19540,13.7582604891541,8.92088391969888,424095,12.9577127657209,9.88021892559677
"Doubs",2012,0,0,8.9,20226.6666666667,13.4600954997531,12.3354874921961,545888,13.2101691054802,9.91475714479436
"Doubs",2013,0,0,9.475,20643.9285714286,13.7172647818975,12.9899454857005,548026,13.2140780100601,9.93517653924658
"Doubs",2014,0,0,9.4,20924,13.8527278262732,9.86666131631314,549155,13.2161360121555,9.9486521044905
"Doubs",2015,0,0,9.5,21324.6666666667,13.9095076434154,10.7024535051594,551143,13.2197495825941,9.96761974113181
"Doubs",2016,0,0,9.15,21662,14.1444262545274,9.52961835714393,552619,13.2224240737975,9.98331485239568
"Doubs",2017,0,0,8.25,21900,14.4333502094498,9.09791533116579,552643,13.2224675024144,9.99424191580459
"Drome",2012,0,1,10.375,18930.6666666667,13.371368288298,13.6002410029867,506210,13.1347068819356,9.84853846105111
"Drome",2013,0,1,10.875,19391.3333333333,13.7961776162074,13.2538492426462,509444,13.1410752139261,9.87258150984024
"Drome",2014,0,1,10.825,19569.2307692308,13.9403010859867,11.1473691295246,514104,13.1501808586008,9.88171375298657
"Drome",2015,0,1,11.25,19843.3333333333,14.1086821357447,12.138987822615,519264,13.1601677033393,9.89562337747933
"Drome",2016,0,1,10.975,20103.3333333333,14.2910539962007,10.6436738598888,522276,13.1659514627655,9.90864091777692
"Drome",2017,0,1,10.2,20440,14.5182969702269,10.5630740424782,524574,13.170341783616,9.92524904431764
"Essonne",2012,0,1,7.025,22615.2,15.7372066000272,14.2015363729436,1257065,14.0442901966571,10.0263775255607
"Essonne",2013,0,1,7.525,22819.3333333333,16.0084498715381,15.6859015009277,1273233,14.0570698929986,10.0353634088497
"Essonne",2014,0,1,7.625,22954,16.363526644615,11.435969272567,1286908,14.0677529999517,10.0412474922406
"Essonne",2015,0,1,7.8,22978,16.6607380217875,12.2624943591435,1294240,14.0734342082518,10.0422925154133
"Essonne",2016,0,1,7.75,23126.8,17.1707265616164,11.1582015443053,1305061,14.0817603409415,10.0487473971893
"Essonne",2017,0,1,7.35,23360,17.5291900816176,10.4657930368974,1310599,14.0859948425779,10.0587804369422
"Eure",2012,0,1,10.2,19841,12.7278299798632,14.3331671145406,609226,13.3199445780156,9.89550578279447
"Eure",2013,0,1,10.775,20287.9166666667,12.9685350723371,15.2022506830827,612518,13.3253336087243,9.91778074971012
"Eure",2014,0,1,10.575,20445,13.2076572971178,11.5477089023333,616076,13.3311256115288,9.92549363279874
"Eure",2015,0,1,10.55,20554.2857142857,13.5717353324157,11.9561590373355,619392,13.3364936307129,9.93082474875425
"Eure",2016,0,1,10.425,20783.3333333333,13.9230252959706,11.3711994629986,620046,13.3375489478175,9.94190666244007
"Eure",2017,0,1,9.675,21060,14.3519119293702,10.3708221046108,614926,13.3292572143457,9.95513078568797
"Eure-et-Loir",2012,0,0,9.075,20310,11.8586928992487,13.2189722204208,443490,13.0024305325632,9.91886865457443
"Eure-et-Loir",2013,0,0,9.575,20715.5,12.2972557171753,14.801624998649,444385,13.0044465828026,9.93863749131893
"Eure-et-Loir",2014,0,0,9.625,20829,12.3680033998345,10.6098194436232,445083,13.0060160606102,9.94410152542138
"Eure-et-Loir",2015,0,0,9.65,20961.3666666667,12.6425682764755,11.3881111089389,445361,13.0066404682294,9.95043633987166
"Eure-et-Loir",2016,0,0,9.475,21132.6666666667,12.9040585683264,10.6552083420753,445281,13.0064608225351,9.95857530551831
"Eure-et-Loir",2017,0,0,8.875,21360,13.3104875021176,9.82513888173633,443538,13.0025387591357,9.96927529307413
"Finistere",2012,1,0,8.475,19748.6666666667,12.497314845689,11.2899306004802,932896,13.7460490052349,9.89084125750181
"Finistere",2013,1,0,9.025,20267.3333333333,12.7579118320044,11.750054789652,934625,13.7479006583022,9.91676567348197
"Finistere",2014,1,0,9,20471.25,12.9655583194807,11.2697796221847,935393,13.7487220408164,9.92677674176408
