"Wk","Day","Date","Time","Home","xG","Score","xG.1","Away","Attendance","Venue","Referee","Match.Report","Notes"
18,"Sat","2022-01-08","15:30","Leverkusen",1.8,"2-2",2.4,"Union Berlin",NA,"BayArena","Matthias Jöllenbeck","Match Report",""
18,"Sat","2022-01-08","15:30","Hoffenheim",1.8,"3-1",0.7,"Augsburg",500,"PreZero Arena","Benjamin Cortus","Match Report",""
18,"Sat","2022-01-08","15:30","Freiburg",2,"2-2",0.9,"Arminia",NA,"Europa-Park Stadion","Harm Osmers","Match Report",""
18,"Sat","2022-01-08","15:30","Greuther Fürth",0.8,"0-0",1.4,"Stuttgart",NA,"Sportpark Ronhof Thomas Sommer","Felix Brych","Match Report",""
18,"Sat","2022-01-08","18:30","Eint Frankfurt",1.2,"2-3",2.4,"Dortmund",250,"Commerzbank-Arena","Robert Schröder","Match Report",""
18,"Sun","2022-01-09","15:30","Hertha BSC",1,"1-3",1.7,"Köln",3000,"Olympiastadion Berlin","Tobias Stieler","Match Report",""
18,"Sun","2022-01-09","17:30","Bochum",0.8,"1-0",0.4,"Wolfsburg",NA,"Vonovia Ruhrstadion","Daniel Schlager","Match Report",""
19,"Fri","2022-01-14","20:30","Dortmund",1.8,"5-1",0.7,"Freiburg",750,"Signal Iduna Park","Florian Badstübner","Match Report",""
19,"Sat","2022-01-15","15:30","Wolfsburg",1.2,"0-0",0.2,"Hertha BSC",500,"Volkswagen Arena","Robert Hartmann","Match Report",""
19,"Sat","2022-01-15","15:30","Mainz 05",1.7,"1-0",1.5,"Bochum",1000,"Opel Arena","Frank Willenborg","Match Report",""
19,"Sat","2022-01-15","15:30","Stuttgart",1.1,"0-2",1.3,"RB Leipzig",500,"Mercedes-Benz Arena","Daniel Schlager","Match Report",""
19,"Sat","2022-01-15","15:30","Köln",1.2,"0-4",3.4,"Bayern Munich",1000,"RheinEnergieSTADION","Tobias Welz","Match Report",""
19,"Sat","2022-01-15","15:30","Union Berlin",1.6,"2-1",1.3,"Hoffenheim",3000,"Stadion An der Alten Försterei","Martin Petersen","Match Report",""
19,"Sat","2022-01-15","18:30","M'Gladbach",1.5,"1-2",4.4,"Leverkusen",750,"Stadion im Borussia-Park","Sascha Stegemann","Match Report",""
19,"Sun","2022-01-16","15:30","Augsburg",1.4,"1-1",2.2,"Eint Frankfurt",NA,"WWK Arena","Sven Jablonski","Match Report",""
19,"Sun","2022-01-16","17:30","Arminia",0.8,"2-2",0.4,"Greuther Fürth",750,"SchücoArena","Christian Dingert","Match Report",""
20,"Fri","2022-01-21","20:30","Eint Frankfurt",1.9,"0-2",1.5,"Arminia",1000,"Commerzbank-Arena","Tobias Reichel","Match Report",""
20,"Sat","2022-01-22","15:30","M'Gladbach",1,"1-2",1.1,"Union Berlin",750,"Stadion im Borussia-Park","Felix Brych","Match Report",""
20,"Sat","2022-01-22","15:30","Greuther Fürth",1.1,"2-1",2,"Mainz 05",NA,"Sportpark Ronhof Thomas Sommer","Robert Schröder","Match Report",""
20,"Sat","2022-01-22","15:30","Leverkusen",3.2,"5-1",1.4,"Augsburg",750,"BayArena","Daniel Schlager","Match Report",""
20,"Sat","2022-01-22","15:30","Hoffenheim",1.5,"2-3",1.5,"Dortmund",500,"PreZero Arena","Deniz Aytekin","Match Report",""
20,"Sat","2022-01-22","15:30","Freiburg",1.6,"2-0",0.5,"Stuttgart",500,"Europa-Park Stadion","Tobias Stieler","Match Report",""
20,"Sat","2022-01-22","18:30","Bochum",1.8,"2-2",1,"Köln",750,"Vonovia Ruhrstadion","Matthias Jöllenbeck","Match Report",""
