"INSEE_COM","CITY","MED16"
77401,"Sainte-Aulde",23.8655555555556
77402,"Saint-Barthélemy",20.28
77403,"Saint-Brice",22.807
77404,"Sainte-Colombe",20.7257142857143
77405,"Saint-Cyr-sur-Morin",23.1292857142857
77406,"Saint-Denis-lès-Rebais",24.2258333333333
77407,"Saint-Fargeau-Ponthierry",23.451
77408,"Saint-Fiacre",27.0619047619048
77409,"Saint-Germain-Laval",21.2107692307692
77410,"Saint-Germain-Laxis",25.6108695652174
77411,"Saint-Germain-sous-Doue",22.7509523809524
77412,"Saint-Germain-sur-École",25.4553333333333
77413,"Saint-Germain-sur-Morin",25.63
77414,"Saint-Hilliers",21.7547619047619
77415,"Saint-Jean-les-Deux-Jumeaux",23.804375
77416,"Saint-Just-en-Brie",24.8161111111111
77417,"Saint-Léger",23.7528888888889
77418,"Saint-Loup-de-Naud",21.31
77419,"Saint-Mammès",22.5761538461538
77420,"Saint-Mard",24.6735
77421,"Saint-Mars-Vieux-Maisons",21.8133333333333
77423,"Saint-Martin-des-Champs",22.0967037037037
77424,"Saint-Martin-du-Boschet",20.92
77425,"Saint-Martin-en-Bière",30.9108095238095
77426,"Saint-Méry",26.9626086956522
77427,"Saint-Mesmes",25.4669565217391
77428,"Saint-Ouen-en-Brie",25.6638888888889
77429,"Saint-Ouen-sur-Morin",23.8373333333333
77430,"Saint-Pathus",24.8923076923077
77431,"Saint-Pierre-lès-Nemours",22.4566666666667
77432,"Saint-Rémy-la-Vanne",22.92
77433,"Beautheil-Saints",24.2372222222222
77434,"Saint-Sauveur-lès-Bray",22.9852380952381
77435,"Saint-Sauveur-sur-École",30.1816666666667
77436,"Saint-Siméon",23.9434782608696
77437,"Saint-Soupplets",23.0842857142857
77438,"Saint-Thibault-des-Vignes",24.9961111111111
77439,"Salins",22.904
77440,"Sammeron",23.0725
77441,"Samois-sur-Seine",30.71
77442,"Samoreau",27.8535
77443,"Sancy",24.79
77444,"Sancy-lès-Provins",21.8132142857143
77445,"Savigny-le-Temple",20.248
77446,"Savins",22.4154166666667
77447,"Seine-Port",31.2271111111111
77448,"Sept-Sorts",23.401
77449,"Serris",23.6393103448276
77450,"Servon",27.9583333333333
77451,"Signy-Signets",23.7049523809524
77452,"Sigy",NA
77453,"Sivry-Courtry",25.7856
77454,"Sognolles-en-Montois",22.8338095238095
77455,"Soignolles-en-Brie",25.4566666666667
77456,"Soisy-Bouy",22.2866666666667
77457,"Solers",24.1605
77458,"Souppes-sur-Loing",19.0433333333333
77459,"Sourdun",20.7353488372093
77460,"Tancrou",23.567
77461,"Thénisy",23.175
77462,"Thieux",22.4283333333333
77463,"Thomery",27.0984
77464,"Thorigny-sur-Marne",23.5376
77465,"Thoury-Férottes",23.6722222222222
77466,"Tigeaux",26.6893333333333
77467,"La Tombe",21.503
77468,"Torcy",19.5090476190476
77469,"Touquin",24.249
77470,"Tournan-en-Brie",23.3471428571429
77471,"Tousson",24.3985
77472,"La Trétoire",22.0426666666667
77473,"Treuzy-Levelay",25.5485714285714
77474,"Trilbardou",23.6344444444444
77475,"Trilport",24.065
77476,"Trocy-en-Multien",24.106
77477,"Ury",25.2022222222222
77478,"Ussy-sur-Marne",22.288
77479,"Vaires-sur-Marne",24.0473913043478
77480,"Valence-en-Brie",22.1525806451613
77481,"Vanvillé",23.4076
77482,"Varennes-sur-Seine",19.83625
77483,"Varreddes",24.084
77484,"Vaucourtois",24.5508333333333
77485,"Le Vaudoué",26.0512
77486,"Vaudoy-en-Brie",23.155
77487,"Vaux-le-Pénil",25.173
77489,"Vaux-sur-Lunain",23.4299642857143
77490,"Vendrest",21.47375
77492,"Verdelot",22.242
77493,"Verneuil-l'Étang",22.8295238095238
77494,"Vernou-la-Celle-sur-Seine",24.1573913043478
77495,"Vert-Saint-Denis",24.0948
77496,"Vieux-Champagne",23.7555
77498,"Vignely",23.5080952380952
77500,"Villebéon",22.0216666666667
77501,"Villecerf",25.3095652173913
77504,"Villemaréchal",23.6033333333333
77505,"Villemareuil",25.3771428571429
77506,"Villemer",23.7561111111111
77507,"Villenauxe-la-Petite",19.8280952380952
77508,"Villeneuve-le-Comte",25.8983333333333
77509,"Villeneuve-les-Bordes",22.9905555555556
77510,"Villeneuve-Saint-Denis",27.6790476190476
77511,"Villeneuve-sous-Dammartin",21.331724137931
77512,"Villeneuve-sur-Bellot",20.4324
77513,"Villenoy",23.1186666666667
77514,"Villeparisis",20.8353333333333
77515,"Villeroy",24.7316787439614
77516,"Ville-Saint-Jacques",24.1866666666667
77517,"Villevaudé",25.7506666666667
77518,"Villiers-en-Bière",29.8638709677419
77519,"Villiers-Saint-Georges",19.6966666666667
77520,"Villiers-sous-Grez",26.3942857142857
77521,"Villiers-sur-Morin",25.3133333333333
77522,"Villiers-sur-Seine",20.4890476190476
77523,"Villuis",22.08075
77524,"Vimpelles",22.7280952380952
77525,"Vinantes",25.1233333333333
77526,"Vincy-Manoeuvre",24.4434285714286
77527,"Voinsles",24.597
77528,"Voisenon",26.696
77529,"Voulangis",26.5911111111111
77530,"Voulton",23.6933333333333
77531,"Voulx",21.0129166666667
77532,"Vulaines-lès-Provins",NA
77533,"Vulaines-sur-Seine",28.3073333333333
77534,"Yèbles",25.294
78003,"Ablis",24.8638095238095
78005,"Achères",21.4311111111111
78006,"Adainville",27.3055507246377
78007,"Aigremont",38.5988
78009,"Allainville",23.66
78010,"Les Alluets-le-Roi",33.4685
78013,"Andelu",28.1864
78015,"Andrésy",27.557
78020,"Arnouville-lès-Mantes",28.1015
78029,"Aubergenville",20.832
78030,"Auffargis",30.0304761904762
78031,"Auffreville-Brasseuil",27.8526530612245
78033,"Aulnay-sur-Mauldre",27.524
78034,"Auteuil",30.3566666666667
78036,"Autouillet",32.926
78043,"Bailly",35.65
78048,"Bazainville",28.4758333333333
78049,"Bazemont",31.8544444444444
78050,"Bazoches-sur-Guyonne",34.7692777777778
78053,"Béhoust",30.7366666666667
78057,"Bennecourt",24.102380952381
78062,"Beynes",27.8835
78068,"Blaru",24.2583333333333
78070,"Boinville-en-Mantois",26.8916666666667
78071,"Boinville-le-Gaillard",24.9133333333333
78072,"Boinvilliers",30.3445
78073,"Bois-d'Arcy",25.4973333333333
78076,"Boissets",26.1088888888889
78077,"La Boissière-École",25.0173333333333
78082,"Boissy-Mauvoisin",24.047
78084,"Boissy-sans-Avoir",28.3898541666667
78087,"Bonnelles",28.217619047619
78089,"Bonnières-sur-Seine",19.9586979166667
78090,"Bouafle",26.1033333333333
78092,"Bougival",30.5278260869565
78096,"Bourdonné",30.1233333333333
78104,"Breuil-Bois-Robert",26.672380952381
78107,"Bréval",25.335
78108,"Les Bréviaires",28.4705555555556
78113,"Brueil-en-Vexin",25.5934782608696
78117,"Buc",33.1157142857143
78118,"Buchelay",22.078
78120,"Bullion",30.3456
78123,"Carrières-sous-Poissy",20.0346428571429
78124,"Carrières-sur-Seine",29.2765217391304
78125,"La Celle-les-Bordes",33.338
78126,"La Celle-Saint-Cloud",27.9486956521739
78128,"Cernay-la-Ville",31.8468
78133,"Chambourcy",31.11
78138,"Chanteloup-les-Vignes",17.5935
78140,"Chapet",31.6573333333333
78143,"Châteaufort",34.9536666666667
78146,"Chatou",30.4977777777778
78147,"Chaufour-lès-Bonnières",25.7954761904762
78152,"Chavenay",38.5708
78158,"Le Chesnay-Rocquencourt",31.4832
78160,"Chevreuse",30.2946153846154
78162,"Choisel",32.6426666666667
78163,"Civry-la-Forêt",26.9519047619048
78164,"Clairefontaine-en-Yvelines",32.8153846153846
78165,"Les Clayes-sous-Bois",23.9029166666667
78168,"Coignières",22.1160869565217
78171,"Condé-sur-Vesgre",28.4675555555556
78172,"Conflans-Sainte-Honorine",24.43
78185,"Courgent",30.7353333333333
78188,"Cravent",24.5629166666667
78189,"Crespières",34.1048
78190,"Croissy-sur-Seine",37.3175
78192,"Dammartin-en-Serve",24.263
78193,"Dampierre-en-Yvelines",32.81675
78194,"Dannemarie",30.8993333333333
78196,"Davron",35.6425806451613
78202,"Drocourt",24.4439130434783
78206,"Ecquevilly",24.8307692307692
78208,"Élancourt",24.1344
78209,"Émancé",28.7747619047619
78217,"Épône",24.4543333333333
78220,"Les Essarts-le-Roi",26.8967857142857
78224,"L'Étang-la-Ville",38.8356666666667
78227,"Évecquemont",28.036
